X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61435.2635    9549.6920     917.8053      0.9758        -0.2170       0.0262        102.54        88.50         3.2817        0.9939         1112          1136         0.0300        0.5900        0.4263        0.2304        Set3
61435.1800    9570.0137     924.4238      -0.4897       0.8440        0.2188        329.88        77.36         6.6269        2.7614         239           1160         0.0049        0.1280        0.6921        0.1584        Set3
61435.4307    9572.9028     923.9786      -0.9486       0.1723        0.2654        280.29        74.61         4.9785        0.9684         5813          1178         0.0232        0.6951        1.4102        0.8784        Set3
61435.4350    9546.2736     916.7023      -0.7922       0.5071        0.3396        302.62        70.15         4.0639        0.2952         2622          1195         0.0140        0.5259        0.3915        0.2736        Set3
61435.3253    9547.0842     916.9917      -0.9496       0.3072        0.0628        287.92        86.40         5.6614        0.5618         2738          1196         0.0087        0.4701        0.6641        0.2880        Set3
61435.4203    9547.8727     917.4846      -0.7254       0.5230        0.4476        305.79        63.41         4.7967        1.4502         2299          1201         0.0152        0.2564        0.6979        0.2016        Set3
61435.5029    9549.6927     919.9916      -0.9415       0.2520        0.2238        284.99        77.07         4.5680        0.4047         13344         1214         0.0281        0.9179        1.5697        1.3248        Set3
61435.3275    9550.3860     918.0373      0.9192        -0.2844       0.2723        107.19        74.20         3.4331        0.7194         1252          1218         0.0202        0.4578        0.3501        0.1728        Set3
61435.3823    9551.1908     918.2497      0.9168        -0.3779       0.1294        112.40        82.56         3.0555        0.2530         4155          1222         0.0233        0.4697        0.5754        0.3600        Set3
61435.5926    9551.9430     919.0316      -0.9666       0.2532        0.0389        284.68        87.77         5.9116        0.4892         42329         1224         0.0388        2.4795        3.4062        5.5872        Set3
61435.7550    9574.5517     924.2446      -0.7318       0.5363        0.4205        306.24        65.13         4.9677        0.0828         39687         1246         0.0259        2.0434        1.6602        3.1248        Set3
61435.4365    9553.3368     917.7212      -0.8936       0.3899        0.2224        293.57        77.15         3.9179        0.2525         1026          1280         0.0117        0.3470        0.3814        0.1728        Set3
61435.4720    9569.7681     926.6257      -0.8781       0.2057        0.4319        283.19        64.41         4.3492        0.0944         192           1286         0.0093        0.3530        0.3893        0.1728        Set3
61435.5558    9571.1760     927.2158      -0.8651       0.4834        0.1337        299.19        82.31         4.1314        0.7176         1313          1288         0.0250        0.6928        1.0057        0.6192        Set3
61435.5790    9547.2568     917.9157      -0.9703       0.0777        0.2292        274.58        76.75         4.9438        0.2254         1716          1310         0.0141        0.5592        0.7805        0.4176        Set3
61435.6698    9554.5176     921.6679      0.9320        -0.2109       0.2948        102.75        72.86         4.8561        0.5849         6704          1336         0.0298        1.1186        1.3426        1.1952        Set3
61435.4912    9556.1118     922.3831      0.9401        -0.2900       0.1791        107.14        79.68         4.6227        0.4081         742           1343         0.0095        0.4732        0.4956        0.2592        Set3
61435.7134    9550.4033     921.3343      -0.7206       0.6295        0.2904        311.14        73.12         4.0331        0.9353         2498          1394         0.0196        0.4426        0.7327        0.3024        Set3
61435.6707    9552.4532     917.8488      -0.9638       0.2094        0.1650        282.26        80.50         4.4455        0.3771         876           1404         0.0109        0.4422        0.5802        0.2304        Set3
61435.6117    9554.2396     922.7058      0.8871        -0.3494       0.3016        111.50        72.45         3.9208        0.1555         1616          1411         0.0120        0.5010        0.3027        0.2160        Set3
61435.6371    9572.0159     926.9245      -0.5549       0.7339        0.3918        322.91        66.94         5.4899        0.3240         584           1440         0.0065        0.3126        0.6206        0.2448        Set3
